 Cause, Effect,Label,Topic_Cause,Topic_Effect,5w1h_effect,5w1h_cause
increased local protectionism [239],request positive balance of trade [368],causal,1_government_in_increase_spending,0_for_of_business_and,"{'Who': 'Not mentioned', 'What': 'Request for a positive balance of trade', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}","{'Who': 'Not mentioned', 'What': 'Increased local protectionism', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}"
increased local protectionism [239],increase in data privacy regulations [20],causal,1_government_in_increase_spending,-1_in_and_to_increased,"{'Who': 'Not mentioned', 'What': 'Increase in data privacy regulations', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}","{'Who': 'Not mentioned', 'What': 'Increased local protectionism', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}"
increased local protectionism [239],increase in taxes [181],causal,1_government_in_increase_spending,1_government_in_increase_spending,"{'Who': 'Not mentioned', 'What': 'Increase in taxes', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}","{'Who': 'Not mentioned', 'What': 'Increased local protectionism', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}"
increase in corruption [136],decreasing government and political stability [131],causal,1_government_in_increase_spending,1_government_in_increase_spending,"{'Who': 'Not mentioned', 'What': 'Decreasing government and political stability', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}","{'Who': 'Not mentioned', 'What': 'Increase in corruption', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}"
increase in corruption [136],increase in possibility of FCPA violation [189],causal,1_government_in_increase_spending,-1_in_and_to_increased,"{'Who': 'Not mentioned', 'What': 'Increase in possibility of FCPA violation', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}","{'Who': 'Not mentioned', 'What': 'Increase in corruption', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}"
increase in corruption [136],increased capital controls [193],causal,1_government_in_increase_spending,-1_in_and_to_increased,"{'Who': 'Not mentioned', 'What': 'Increased capital controls', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}","{'Who': 'Not mentioned', 'What': 'Increase in corruption', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}"
increase in corruption [136],increase in bribery [137],causal,1_government_in_increase_spending,-1_in_and_to_increased,"{'Who': 'Not mentioned', 'What': 'Increase in bribery', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}","{'Who': 'Not mentioned', 'What': 'Increase in corruption', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}"
increase in corruption [136],growing social tension [103],causal,1_government_in_increase_spending,1_government_in_increase_spending,"{'Who': 'Not mentioned', 'What': 'Growing social tension', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}","{'Who': 'Not mentioned', 'What': 'Increase in corruption', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}"
increase in corruption [136],unfair allocation of government budget [133],causal,1_government_in_increase_spending,1_government_in_increase_spending,"{'Who': 'Not mentioned', 'What': 'Unfair allocation of government budget', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}","{'Who': 'Not mentioned', 'What': 'Increase in corruption', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}"
increase in corruption [136],drastic increase in taxes [194],causal,1_government_in_increase_spending,1_government_in_increase_spending,"{'Who': 'Not mentioned', 'What': 'Drastic increase in taxes', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}","{'Who': 'Not mentioned', 'What': 'Increase in corruption', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}"
increase in corruption [136],radical political party or official elected [195],causal,1_government_in_increase_spending,1_government_in_increase_spending,"{'Who': 'Not mentioned', 'What': 'Not mentioned', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}","{'Who': 'Not mentioned', 'What': 'Increase in corruption', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}"
increase in corruption [136],increasing debt levels [47],causal,1_government_in_increase_spending,1_government_in_increase_spending,"{'Who': 'Not mentioned', 'What': 'Increasing debt levels', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}","{'Who': 'Not mentioned', 'What': 'Increase in corruption', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}"
increase in corruption [136],lack of respect for authority [196],causal,1_government_in_increase_spending,1_government_in_increase_spending,"{'Who': 'Not mentioned', 'What': 'Lack of respect for authority', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}","{'Who': 'Not mentioned', 'What': 'Increase in corruption', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}"
increase in corruption [136],uneven distribution of wealth [197],causal,1_government_in_increase_spending,0_for_of_business_and,"{'Who': 'Not mentioned', 'What': 'Uneven distribution of wealth', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}","{'Who': 'Not mentioned', 'What': 'Increase in corruption', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}"
increase in corruption [136],decreased investor and consumer confidence [198],causal,1_government_in_increase_spending,-1_in_and_to_increased,"{'Who': 'Investors and consumers', 'What': 'Decreased confidence', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}","{'Who': 'Not mentioned', 'What': 'Increase in corruption', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}"
decreased investor and consumer confidence [198],weakening economic environment [309],causal,-1_in_and_to_increased,1_government_in_increase_spending,"{'Who': 'Not mentioned', 'What': 'Weakening economic environment', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}","{'Who': 'Investors and consumers', 'What': 'Decreased confidence', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}"
increase in corruption [136],increased capital controls [193],causal,1_government_in_increase_spending,-1_in_and_to_increased,"{'Who': 'Not mentioned', 'What': 'Increased capital controls', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}","{'Who': 'Not mentioned', 'What': 'Increase in corruption', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}"
increased capital controls [193],controls to repatriate cash [53],causal,-1_in_and_to_increased,-1_in_and_to_increased,"{'Who': 'Not mentioned', 'What': 'Controls to repatriate cash', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}","{'Who': 'Not mentioned', 'What': 'Increased capital controls', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}"
increased capital controls [193],decreased foreign direct investment [88],causal,-1_in_and_to_increased,0_for_of_business_and,"{'Who': 'Not mentioned', 'What': 'Decreased foreign direct investment', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}","{'Who': 'Not mentioned', 'What': 'Increased capital controls', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}"
decreased foreign direct investment [88],weakening economic environment [309],causal,0_for_of_business_and,1_government_in_increase_spending,"{'Who': 'Not mentioned', 'What': 'Weakening economic environment', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}","{'Who': 'Not mentioned', 'What': 'Decreased foreign direct investment', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}"
increase in corruption [136],"decrease in government spending (infrastructure, education, public benefits) [114]",causal,1_government_in_increase_spending,1_government_in_increase_spending,"{'Who': 'Government', 'What': 'Decrease in government spending', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}","{'Who': 'Not mentioned', 'What': 'Increase in corruption', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}"
"decrease in government spending (infrastructure, education, public benefits) [114]",growing social tension [103],causal,1_government_in_increase_spending,1_government_in_increase_spending,"{'Who': 'Not mentioned', 'What': 'Growing social tension', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}","{'Who': 'Government', 'What': 'Decrease in government spending', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}"
"decrease in government spending (infrastructure, education, public benefits) [114]",decreased talent in workforce [115],causal,1_government_in_increase_spending,0_for_of_business_and,"{'Who': 'Not mentioned', 'What': 'Decreased talent in the workforce', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}","{'Who': 'Government', 'What': 'Decrease in government spending', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}"
increase in data privacy regulations [20],increase cost of burden on multinational data providers [200],causal,-1_in_and_to_increased,0_for_of_business_and,"{'Who': 'Multinational data providers', 'What': 'Increase in cost of burden', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}","{'Who': 'Not mentioned', 'What': 'Increase in data privacy regulations', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}"
increase cost of burden on multinational data providers [200],clients and potential clients need help to comply with privacy [201],causal,0_for_of_business_and,0_for_of_business_and,"{'Who': 'Clients and potential clients', 'What': 'Need help to comply with privacy regulations', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}","{'Who': 'Multinational data providers', 'What': 'Increase in cost of burden', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}"
increase in data privacy regulations [20],increase ability for smaller domestic providers to become competitive [205],causal,-1_in_and_to_increased,0_for_of_business_and,"{'Who': 'Smaller domestic providers', 'What': 'Increase ability to become competitive', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}","{'Who': 'Not mentioned', 'What': 'Increase in data privacy regulations', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}"
increase in data privacy regulations [20],market disruptors [168],causal,-1_in_and_to_increased,-1_in_and_to_increased,"{'Who': 'Not mentioned', 'What': 'Market disruption', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}","{'Who': 'Not mentioned', 'What': 'Increase in data privacy regulations', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}"
increase in data privacy regulations [20],foreign data providers dominate market [208],causal,-1_in_and_to_increased,0_for_of_business_and,"{'Who': 'Foreign data providers', 'What': 'Dominate the market', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}","{'Who': 'Not mentioned', 'What': 'Increase in data privacy regulations', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}"
increase in data privacy regulations [20],lack of consumer confidence in data providers [209],causal,-1_in_and_to_increased,0_for_of_business_and,"{'Who': 'Consumers, Data Providers', 'What': 'Lack of consumer confidence in data providers', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}","{'Who': 'Not mentioned', 'What': 'Increase in data privacy regulations', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}"
increase in data privacy regulations [20],increased cyber attacks [210],causal,-1_in_and_to_increased,-1_in_and_to_increased,"{'Who': 'Not mentioned', 'What': 'Increased cyber attacks', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}","{'Who': 'Not mentioned', 'What': 'Increase in data privacy regulations', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}"
increase in data privacy regulations [20],increased threat of terrorism [211],causal,-1_in_and_to_increased,1_government_in_increase_spending,"{'Who': 'Not mentioned', 'What': 'Increased threat of terrorism', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}","{'Who': 'Not mentioned', 'What': 'Increase in data privacy regulations', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}"
increase in data privacy regulations [20],increase in personal identify theft attacks [212],causal,-1_in_and_to_increased,-1_in_and_to_increased,"{'Who': 'Individuals', 'What': 'Increase in personal identity theft attacks', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}","{'Who': 'Not mentioned', 'What': 'Increase in data privacy regulations', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}"
increase in data privacy regulations [20],unfavorable uses of data by providers and businesses [213],causal,-1_in_and_to_increased,0_for_of_business_and,"{'Who': 'Data providers and businesses', 'What': 'Unfavorable uses of data', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}","{'Who': 'Not mentioned', 'What': 'Increase in data privacy regulations', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}"
